Date;HomeTeam;GuestTeam;HomeGoals;GuestGoals
31.03.19;Hannover;Schalke 04;0;1
05.04.19;Mainz 04;SC Freiburg;5;0
06.04.19;Bayern Munich;Dortmund;5;0
06.04.19;Union Berlin;Fortuna Dusseldorf;1;2
06.04.19;Bayer Leverkusen;RB Leipzig;2;4
06.04.19;Schalke 04;Eintracht Frankfurt;1;2
06.04.19;Vfb Stuttgart;FC Nurnberg;1;1
06.04.19;Vfl Wolfsburg;Hannover;3;1
07.04.19;FC Augsburg;HSV;0;4
07.04.19;M'gladbach;Werder Bremen;1;1
12.04.19;FC Nurnberg;Schalke 04;1;1
13.04.19;Dortmund;Mainz 04;2;1
13.04.19;Hannover;M'gladbach;0;1
13.04.19;RB Leipzig;Vfl Wolfsburg;2;0
13.04.19;Vfb Stuttgart;Bayer Leverkusen;0;1
13.04.19;Werder Bremen;SC Freiburg;2;1
14.04.19;Eintracht Frankfurt;FC Augsburg;1;3
14.04.19;Fortuna Dusseldorf;Bayern Munich;1;4
14.04.19;HSV;Union Berlin;2;0
20.04.19;FC Augsburg;Vfb Stuttgart;6;0
20.04.19;Bayern Munich;Werder Bremen;1;0
20.04.19;Bayer Leverkusen;FC Nurnberg;2;0
20.04.19;Mainz 04;Fortuna Dusseldorf;3;1
20.04.19;M'gladbach;RB Leipzig;1;2
20.04.19;Schalke 04;HSV;2;5
21.04.19;SC Freiburg;Dortmund;0;4
21.04.19;Union Berlin;Hannover;0;0
22.04.19;Vfl Wolfsburg;Eintracht Frankfurt;1;1
26.04.19;FC Augsburg;Bayer Leverkusen;1;4
27.04.19;Dortmund;Schalke 04;2;4
27.04.19;Eintracht Frankfurt;Union Berlin;0;0
27.04.19;Fortuna Dusseldorf;Werder Bremen;4;1
27.04.19;Hannover;Mainz 04;1;0
27.04.19;RB Leipzig;SC Freiburg;2;1
27.04.19;Vfb Stuttgart;M'gladbach;1;0
28.04.19;HSV;Vfl Wolfsburg;1;4
28.04.19;FC Nurnberg;Bayern Munich;1;1
03.05.19;Mainz 04;RB Leipzig;3;3
04.05.19;Bayern Munich;Hannover;3;1
04.05.19;Union Berlin;Vfb Stuttgart;3;1
04.05.19;M'gladbach;HSV;2;2
04.05.19;Werder Bremen;Dortmund;2;2
04.05.19;Vfl Wolfsburg;FC Nurnberg;2;0
05.05.19;SC Freiburg;Fortuna Dusseldorf;1;1
05.05.19;Bayer Leverkusen;Eintracht Frankfurt;6;1
05.05.19;Schalke 04;FC Augsburg;0;0
11.05.19;FC Augsburg;Union Berlin;3;4
11.05.19;Dortmund;Fortuna Dusseldorf;3;2
11.05.19;Hannover;SC Freiburg;3;0
11.05.19;HSV;Werder Bremen;0;1
11.05.19;Bayer Leverkusen;Schalke 04;1;1
11.05.19;FC Nurnberg;M'gladbach;0;4
11.05.19;RB Leipzig;Bayern Munich;0;0
